country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Uganda,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,375,376,0,0,0,0,0,0,0,0,0,0.0026595744680851063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026595744680851063,0,0
Uganda,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,349,353,0,0,0,0,0,0,0,0,0,0.0028328611898017,0,0.0028328611898017,0,0,0,0,0,0,0.0028328611898017,0.0028328611898017,0,0.0028328611898017,0,0,0.0084985835694051,0,0
Uganda,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Combined,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,621,623,0,0,0,0,0,0,0,0,0,0.0032102728731942215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032102728731942215,0,0
Uganda,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Combined,2012-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,479,0,0,0,0,0,0.0020876826722338203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020876826722338203,0,0,0
Uganda,Combined,2012-08-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,737,740,0.0013513513513513514,0,0,0,0,0,0,0,0,0.0013513513513513514,0,0,0,0,0,0,0.0013513513513513514,0,0,0,0,0.0013513513513513514,0,0,0.0013513513513513514,0,0.0013513513513513514
Uganda,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,449,451,0,0,0,0,0,0,0,0,0,0.0022172949002217295,0,0,0,0,0,0,0,0,0.0022172949002217295,0,0,0,0,0,0.004434589800443459,0,0
Uganda,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,550,551,0,0,0,0,0,0,0,0,0,0,0,0.0018148820326678765,0,0,0,0,0,0,0,0,0,0.0018148820326678765,0,0,0,0,0
Uganda,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Combined,2012-12-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,570,572,0.0017482517482517483,0,0,0,0,0,0,0,0,0.0017482517482517483,0,0,0,0,0,0,0,0,0,0,0,0.0017482517482517483,0,0,0.0017482517482517483,0,0
Uganda,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,547,548,0,0,0,0,0,0,0,0,0,0.0018248175182481751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018248175182481751,0,0
