country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Hungary,Russia,2012-01-01,2012,1,7080,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0.9991532599491956,0.0,0.0,0.0,0.0,0.0,0.0001411233418007,0.0,0.0,0.0,0.0,0.0001411233418007,0.0001411233418007,0.0,0.0004233700254022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Russia,2012-02-01,2012,2,6604,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.9995459361283489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001513546238837,0.0003027092477675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Russia,2012-03-01,2012,3,6915,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0.9987001733102252,0.0,0.0001444251877527,0.0,0.0001444251877527,0.0,0.0,0.0001444251877527,0.0,0.0,0.0,0.0,0.0001444251877527,0.0,0.0002888503755054,0.0001444251877527,0.0,0.0,0.0,0.0002888503755054,0.0,0.0
Hungary,Russia,2012-04-01,2012,4,6306,0,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0.9987329743427305,0.0,0.0001583782071586,0.0,0.0,0.0,0.0001583782071586,0.0,0.0,0.0,0.0003167564143173,0.0,0.0,0.0,0.000475134621476,0.0,0.0,0.0,0.0,0.0,0.0001583782071586,0.0
Hungary,Russia,2012-05-01,2012,5,6266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.9995214547774764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001595150741745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001595150741745,0.0001595150741745,0.0
Hungary,Russia,2012-06-01,2012,6,5954,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0.998993288590604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003355704697986,0.0001677852348993,0.0001677852348993,0.0,0.0003355704697986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Russia,2012-07-01,2012,7,5868,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9996592844974448,0.0,0.0,0.0,0.0,0.0,0.0,0.0001703577512776,0.0,0.0001703577512776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Russia,2012-08-01,2012,8,5433,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0.9994481236203092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003679175864606,0.0,0.0001839587932303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Russia,2012-09-01,2012,9,5909,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.9991545485289144,0.0,0.0,0.0,0.0,0.0,0.0,0.0001690902942171,0.0,0.0,0.0003381805884342,0.0003381805884342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Russia,2012-10-01,2012,10,7016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999857488955394,0.0001425110446059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
