country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Philippines,Russia,2012-01-01,2012,1,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-02-01,2012,2,3080,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0.9983792544570502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006482982171799,0.0,0.0,0.0003241491085899,0.0,0.0006482982171799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-03-01,2012,3,3302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993946731234868,0.0,0.0,0.0,0.0,0.0,0.0003026634382566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-04-01,2012,4,3047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996719160104988,0.0,0.0,0.0003280839895013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-05-01,2012,5,3526,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9994331065759636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002834467120181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-06-01,2012,6,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-07-01,2012,7,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997014034040012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-08-01,2012,8,3591,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9994433620929584,0.0,0.0,0.0,0.0,0.0,0.0002783189535207,0.0,0.0,0.0,0.0,0.0,0.0002783189535207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-09-01,2012,9,3263,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9987756351392716,0.0,0.0,0.0,0.0,0.0,0.0006121824303642,0.0,0.0,0.0,0.0003060912151821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003060912151821,0.0,0.0,0.0
Philippines,Russia,2012-10-01,2012,10,3569,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.999439932791935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002800336040324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-11-01,2012,11,3113,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9993579454253612,0.0,0.0003210272873194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003210272873194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2012-12-01,2012,12,3062,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.999021207177814,0.0,0.0,0.0,0.0,0.0,0.0,0.0003262642740619,0.0,0.0,0.0,0.0,0.0,0.0,0.0006525285481239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-01-01,2013,1,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-02-01,2013,2,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-03-01,2013,3,3528,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9997166336072542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002833663927458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-04-01,2013,4,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9994464433988376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002767783005812,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-05-01,2013,5,3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994610617084344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-06-01,2013,6,3574,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.9988820570150924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002794857462269,0.0,0.0002794857462269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-07-01,2013,7,3718,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.999193765116904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002687449610319,0.0,0.0,0.0,0.0,0.0,0.0,0.0002687449610319,0.0,0.0,0.0,0.0
Philippines,Russia,2013-08-01,2013,8,3850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9994807892004154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002596053997923,0.0,0.0,0.0,0.0
Philippines,Russia,2013-09-01,2013,9,3885,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9994854643684076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002572678157962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-10-01,2013,10,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9995004995004996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002497502497502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-11-01,2013,11,5020,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0.9962294105973408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003969041476483,0.0,0.0,0.0,0.0,0.0001984520738241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2013-12-01,2013,12,3982,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9987459242538248,0.0,0.0,0.0,0.00050163029847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2014-01-01,2014,1,3866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2014-02-01,2014,2,3393,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9985285462036492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005885815185403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippines,Russia,2014-03-01,2014,3,3767,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.9984097535117944,0.0,0.0,0.0,0.0,0.0002650410813676,0.0,0.0,0.0,0.0,0.0,0.0,0.0002650410813676,0.0,0.0,0.0,0.0,0.0,0.0,0.0002650410813676,0.0002650410813676,0.0
Philippines,Russia,2014-04-01,2014,4,3346,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0.9973174366616988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005961251862891,0.0,0.0,0.0,0.0,0.0,0.0017883755588673,0.0002980625931445
