country,date,arrestNorm,censorNorm,electionactivityNorm,electionirregularitiesNorm,cooperateNorm,coupNorm,defamationcaseNorm,disasterNorm,legalactionNorm,legalchangeNorm,martiallawNorm,mobilizesecurityNorm,corruptionNorm,activismNorm,protestNorm,purgeNorm,raidNorm,threatenNorm,violencelethalNorm,violencenonlethalNorm
Paraguay,2014-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Paraguay,2014-11-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2014-12-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-07-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-09-01,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paraguay,2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Paraguay,2015-11-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2015-12-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-01-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Paraguay,2016-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Paraguay,2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-04-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Paraguay,2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-06-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Paraguay,2016-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paraguay,2016-10-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2016-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Paraguay,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-03-01,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Paraguay,2017-04-01,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Paraguay,2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-08-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Paraguay,2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-10-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2017-11-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Paraguay,2017-12-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-03-01,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-04-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Paraguay,2018-09-01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Paraguay,2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2018-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Paraguay,2018-12-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paraguay,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2019-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2019-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paraguay,2019-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2019-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Paraguay,2019-06-01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Paraguay,2019-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paraguay,2019-08-01,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Paraguay,2019-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Paraguay,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2019-11-01,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
Paraguay,2019-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2020-01-01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2020-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Paraguay,2020-03-01,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2020-04-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Paraguay,2020-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2020-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2020-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2020-08-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2020-09-01,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
Paraguay,2020-10-01,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Paraguay,2020-11-01,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2021-01-01,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Paraguay,2021-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2021-03-01,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Paraguay,2021-04-01,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paraguay,2021-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Paraguay,2021-06-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2021-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2021-08-01,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Paraguay,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2021-10-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2021-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Paraguay,2021-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2022-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2022-02-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Paraguay,2022-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Paraguay,2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
