country,source,date,arrest,protest,legalaction,disaster,censor,electionactivity,electionirregularities,activism,martiallaw,cooperate,coup,violencenonlethal,violencelethal,corruption,legalchange,mobilizesecurity,purge,threaten,raid,cs_999,defamationcase,total_articles,ncr_arrest,ncr_cooperate,ncr_corruption,ncr_defamationcase,ncr_legalaction,ncr_legalchange,ncr_purge,ncr_raid,ncr_threaten,ncr_violencelethal,ncr_violencenonlethal
Peru,aljazeera.com,2012-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-02-01,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-03-01,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-04-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-05-01,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-06-01,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-07-01,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-10-01,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Peru,aljazeera.com,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0
